Region,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Region C,1900,      Other services (except public administration),62444,63136,65659,67659,70312,68346,71037,70526,71623,74194,76062,74950,72712,75415,77013,77636,79133,79897,81457
Region C,2000,    Government and government enterprises,248892,245293,240743,245158,254113,250204,248744,247110,247172,243816,245286,251806,262359,261284,256413,252948,251755,248978,251029
Region D,100,"      Forestry, fishing, and related activities",79751,74148,68632,64452,63127,59505,61962,61486,62003,62614,61790,62263,61172,60029,59793,62269,64117,61497,60114
Region D,200,"      Mining, quarrying, and oil and gas extraction",13624,13163,12465,13394,12053,13180,12672,13492,14013,14990,19141,18779,22590,19350,26297,27842,26557,27383,27570
Region D,300,      Utilities,28472,29063,29040,29017,25973,25441,25195,25469,26059,26047,26724,25599,24517,23979,24359,24108,23881,25112,26054
Region D,400,      Construction,517234,530275,554141,585788,603998,642977,700853,801509,864391,803083,693202,561440,501095,488924,501690,533752,573696,611883,653576
Region D,500,      Manufacturing,475738,471910,469496,452607,428818,412018,416193,424318,433507,423471,397809,354049,334621,343175,349790,360055,369971,383555,397071
Region D,600,      Wholesale trade,327466,330992,340122,344078,343190,345802,361384,375965,388081,396852,383194,357258,346526,350893,359141,365887,395811,406168,420231
Region D,700,      Retail trade,1030501,1047398,1073078,1081271,1077729,1082346,1109559,1149575,1180852,1190753,1153644,1092002,1083824,1124133,1148898,1182156,1225870,1272726,1298323
Region D,800,      Transportation and warehousing,280061,274097,284263,288209,286699,283639,291807,307315,314857,320989,313447,300491,296541,312800,326344,337001,349971,400098,417414
Region D,900,      Information,187346,199227,213572,215115,200312,198209,195912,199896,198321,194179,189021,174323,168063,169460,169149,172061,177114,173642,174022
Region D,1000,      Finance and insurance,422843,429884,439931,443867,458404,464550,482580,508183,529520,562479,575817,588810,572130,615414,621990,636195,634470,659418,664267
Region D,1100,      Real estate and rental and leasing,332291,317720,350233,359529,381016,410276,473045,546268,579744,582600,556661,535601,549120,572861,588600,619730,666987,708878,734741
Region D,1200,"      Professional, scientific, and technical services",453862,484542,514969,540592,547561,563617,605526,635392,663443,691287,689792,665440,670444,685078,699585,729082,759664,797199,829160
Region D,1300,      Management of companies and enterprises,61077,65329,67631,63808,73065,72490,75093,79186,82649,87294,95673,93076,91687,95268,99384,107217,114166,119642,126440
Region D,1400,      Administrative and support and waste management and remediation services,744266,862813,935910,839343,835962,898829,915608,944910,928378,932265,826049,784573,794060,793896,810322,837318,874152,897537,927794
Region D,1500,      Educational services,92227,99177,104621,118827,129130,134965,143657,151005,161188,167923,177884,186631,196889,200520,200219,205351,217493,223530,228481
Region D,1600,      Health care and social assistance,786161,804720,821088,841821,866424,898491,925976,946838,992981,1037811,1068496,1080399,1100956,1128843,1154819,1174392,1204141,1254419,1296560
Region D,1700,"      Arts, entertainment, and recreation",207177,220637,233402,237366,238838,238882,250675,258794,266456,281169,284552,284475,288366,299249,309783,312986,333359,334401,342968
Region D,1800,      Accommodation and food services,614067,630300,638011,661902,677333,697648,739127,763579,788545,807379,810459,776221,785515,820371,855454,894727,937122,979756,1016935
Region D,1900,      Other services (except public administration),514192,533512,539087,549896,585624,599964,619127,630244,648823,673120,669164,653449,640734,680035,698611,715174,750532,789801,811688
Region D,2000,    Government and government enterprises,1056877,1065230,1092780,1112103,1128331,1141444,1161147,1177859,1195682,1214549,1220208,1204888,1202717,1180900,1164762,1163335,1158349,1164020,1176616
